Graph Size,Execution Time (s),Iterations,Memory (bytes),Shortest Path,Path Length (m)
3,1.114,5,480,0 -> 1 -> 2 -> 0,1153.74
4,1.107,16,960,0 -> 1 -> 2 -> 3 -> 0,1218.56
5,1.11,53,3496,0 -> 1 -> 2 -> 3 -> 4 -> 0,1289.25
6,1.097,166,6728,0 -> 4 -> 3 -> 2 -> 1 -> 5 -> 0,1466.98
7,1.11,487,27400,0 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 0,1499.68
8,1.102,1352,60304,0 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 0,1505.82
9,1.134,3593,159496,0 -> 7 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 8 -> 0,1505.9
10,1.147,9226,376480,0 -> 7 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 9 -> 8 -> 0,1521.58
11,1.224,23051,839264,0 -> 8 -> 9 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 10 -> 0,1523.57
12,1.401,56332,2670472,0 -> 10 -> 7 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 9 -> 8 -> 11 -> 0,1525.83
13,1.879,135181,5632104,0 -> 11 -> 8 -> 9 -> 1 -> 2 -> 3 -> 4 -> 6 -> 5 -> 7 -> 10 -> 12 -> 0,1563.98
14,2.866,319502,11422152,0 -> 12 -> 10 -> 7 -> 5 -> 6 -> 4 -> 3 -> 2 -> 1 -> 9 -> 8 -> 11 -> 13 -> 0,1591.26
